Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,?b
?a father ?b,?a predecessor ?b,358,0.29608938547486036,0.6385542168674698,106,1,166,?a
?c successor ?a   ?c parent ?d   ?b spouse ?d,?a father ?b,561,0.0035650623885918,0.011695906432748537,2,3,171,?a
?a predecessor ?c   ?b successor ?c,?a predecessor ?b,358,0.030726256983240222,0.037800687285223365,11,2,291,?a
?a child ?c   ?d spouse ?c   ?d gender ?b,?a gender ?b,892,0.1031390134529148,0.39655172413793105,92,3,232,?a
?a mother ?c   ?c hasSpouse ?b,?a hasSpouse ?b,1928,0.10736514522821576,0.9118942731277533,207,2,227,?a
?c father ?a   ?c name ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.15082956259426847,1.0,400,3,400,?a
?c child ?a   ?c name ?b,?a successor ?b,354,0.002824858757062147,0.00625,1,2,160,?a
?c child ?a   ?c successor ?d   ?b child ?d,?a predecessor ?b,358,0.2877094972067039,0.544973544973545,103,3,189,?a
?c child ?a   ?d father ?c   ?b child ?d,?a parent ?b,946,0.2536997885835095,0.8,240,3,300,?a
?c father ?a   ?c parent ?d   ?b mother ?d,?a child ?b,1508,0.08156498673740054,0.8145695364238411,123,3,151,?a
